is_happened|flood_cause_en|date|location|death|evacuation|country|link|published_date
Yes|Heavy rainfall caused by a low pressure system interacting with the remnants of tropical storm Debby|2024-08|Ottawa, Gatineau, Kanata Lakes, Cornwall, Mississippi Mills, East Hawkesbury, Alexandria, Kinburn, Summerstown|Unknown|Unknown|Canada|https://ottawa.ctvnews.ca/remnants-of-debby-move-across-ottawa-eastern-ontario-prompting-flood-risks-1.6994559|2024-08-09T20:58:45Z
Oui|La tempête Debby a causé des inondations en raison de précipitations record|Inconnu|Québec, incluant Montréal, Lanaudière, les Laurentides, La Macaza, Rivière-Rouge, Saint-Calixte, Sainte-Julienne|Inconnu|Oui|Canada|https://www.journaldemontreal.com/2024/08/09/inhabituelle-et-plutot-rare-plusieurs-records-de-pluie-bientot-battus-dans-le-grand-montreal|2024-08-10T04:25:58Z
Non|NA|NA|NA|Inconnu|Inconnu|Inconnu|https://villesaintraymond.com/actualites/avertissement-sur-les-previsions-de-fortes-pluies|2024-08-10T04:17:27Z
Oui|La cause de l'inondation était les pluies torrentielles dues à la tempête tropicale Debby.|L'inondation s'est produite en Août 2022 (la date exacte n'est pas mentionnée dans le texte)|Les endroits affectés comprennent Montréal, les Laurentides, la région métropolitaine de Montréal, la Rive-Sud, Lanaudière, Sainte-mélie-de-lnergie, Val-Morin, Mont-Tremblant, Saint-Jean-sur-Richelieu, Saint-Pie, Rigaud, Rawdon et la ville de Québec.|Aucune information sur les victimes n'est mentionnée dans le texte|Aucune information sur une évacuation n'est mentionnée dans le texte|Canada|https://www.lequotidien.com/actualites/2024/08/09/les-vestiges-de-emdebbyem-apportent-des-quantites-significatives-de-pluie-au-quebec-73EY32LHOBFC5ECVPSI4M5EGUM/|2024-08-10T04:00:11Z
Oui|Une dépression combinée avec les vestiges de la tempête tropicale Debby|2024-08|Gatineau, Hawkesbury en Ontario, Outaouais|Inconnu|Inconnu|Canada|https://www.fm1047.ca/nouvelles/640834/pluies-abondantes-a-gatineau-des-residents-s-inquietent|2024-08-10T03:56:09Z
Oui|Les pluies abondantes des dernières heures ont causé de sérieux dommages|Inconnu|Kiamika, Nominingue, Rivière-Rouge, Notre-Dame-de-Pontmain, La Macaza, LAscension, Notre-Dame-du-Laus|Inconnu|Oui|Canada|https://infodelalievre.ca/actualites/2024/08/09/les-hautes-laurentides-durement-touchees/|2024-08-10T03:12:25Z
Oui|Inconnu|2024-08|Vaudreuil-Soulanges, Rue des Dahlias, 26e avenue à Saint-Zotique, Vaudreuil-Dorion|Inconnu|Inconnu|Canada|https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/communaute-vs/vaudreuil-soulanges-touchee-par-les-inondations-pluviales/|2024-08-10T02:51:52Z
Oui|Les précipitations|2024-08|['chemin de la Montagne dans le secteur Hull-Aylmer', 'chemin Caron à Notre-Dame-De-Pontmain', 'chemin privé de la rue Rollin, à Val-Des-Monts', 'chemin de Chambord et le boulevard St-René près du boulevard Labrosse']|Inconnu|Inconnu|Inconnu|https://www.fm1047.ca/nouvelles/640863/les-ruisseaux-debordent-a-certains-endroits|2024-08-10T02:20:55Z
Non|NA|NA|NA|NA|NA|NA|https://www.ville.varennes.qc.ca/actualites/24/08/09/conditions-meteorologiques-inondation|2024-08-10T01:21:59Z
Oui|Les pluies abondantes|2024-09|Rive-Sud, Salaberry-de-Valleyfield, Beauharnois, Sainte-Catherine, Saint-Constant, Candiac, Delson, Saint-Régis|Inconnu|Inconnu|Canada|https://www.cybersoleil.com/rive-sud-les-fortes-pluies-causent-de-nombreuses-inondations-actu/|2024-08-10T00:28:24Z
Oui|La cause de l'inondation était de fortes pluies.|Inconnu|Montréal, Lac-Beauport, Stoneham-et-Tewksbury, Baie-Saint-Paul, La Malbaie, Saint-Urbain|Inconnu|Inconnu|Canada|https://www.journaldequebec.com/2024/08/09/intemperies--des-records-de-pluie-battus-a-montreal-mais-pas-a-quebec|2024-08-09T23:41:07Z
Oui|La tempête Debby a causé des pluies abondantes|2024-08|['Nominingue', 'Lac-Saguay', 'Rivière-Rouge', 'Grand Montréal']|Inconnu|Oui|Canada|https://www.tvanouvelles.ca/2024/08/09/en-images--des-chemins-dans-les-laurentides-affaisses-par-la-pluie|2024-08-09T23:27:15Z
Oui|La cause de l'inondation est la tempête post-tropicale Debby|2022-08|La région du sud du Québec, y compris les Laurentides|Inconnu|Inconnu|Canada|https://www.journaldemontreal.com/2024/08/09/vestiges-de-la-tempete-debby-plus-de-48-000-foyers-plonges-dans-le-noir|2024-08-09T23:25:16Z
Oui|Débordement de la rivière Milette causé par de fortes pluies|2022-07 (La date exacte n'est pas précisée dans le texte, mais il est mentionné que c'était un vendredi)|Trois-Rivières, rue Réal Proulx|Inconnu|Inconnu|Canada|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/100-mm-de-pluie-attendus-en-mauricie-les-evenements-exterieurs-a-leau-QMG7E5BUOVF4LFZ7DHEQCOFQ6I/|2024-08-09T22:29:51Z
Oui|Les inondations étaient dues aux fortes pluies.|2024-08|Trois-Rivières, Shawinigan, Sainte-Marthe-du-Cap, Champlain, Saint-Étienne-des-Grès, Saint-Jean-des-Piles, Saint-Gérard-des-Laurentides|Inconnu|Inconnu|Canada|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/tempete-debby-la-situation-semble-etre-sous-controle-WTFZTN6E3ZBU3GM6PV63YNDFLY/|2024-08-09T22:04:21Z
Oui|Les restes de la tempête Debby|Inconnu|Grand Montréal, Laurentides, Montérégie, Boucherville, Saint-Bruno-de-Montarville, Saint-Hubert, Vieux-Longueuil à Longueuil|Inconnu|Inconnu|Canada|https://www.lapresse.ca/actualites/2024-08-09/pluies-abondantes-au-quebec-et-en-ontario/les-vestiges-de-debby-causent-une-accumulation-d-eau-sur-plusieurs-routes.php|2024-08-09T21:29:10Z
