is_happened|flood_cause_en|date|location|death|evacuation|country|link|published_date
Oui|Pluies abondantes|Inconnu|Les Hautes-Laurentides, notamment Kiamika, Nominingue, Rivière-Rouge, Notre-Dame-de-Pontmain, La Macaza, LAscension et Notre-Dame-du-Laus|Inconnu|Oui|Canada|https://infodelalievre.ca/actualites/2024/08/09/les-hautes-laurentides-durement-touchees/|2024-08-10T03:12:25Z
Oui|NA|2024-08|Vaudreuil-Soulanges|NA|NA|Canada|https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/communaute-vs/vaudreuil-soulanges-touchee-par-les-inondations-pluviales/|2024-08-10T02:51:52Z
Oui|Précipitations|2024-08|Canada, secteur Hull-Aylmer, chemin de la Montagne, chemin Caron à Notre-Dame-De-Pontmain, rue Rollin à Val-Des-Monts, chemin de Chambord et boulevard St-René|Inconnu|Inconnu|Canada|https://www.fm1047.ca/nouvelles/640863/les-ruisseaux-debordent-a-certains-endroits|2024-08-10T02:20:55Z
Non|NA|NA|NA|NA|NA|NA|https://www.ville.varennes.qc.ca/actualites/24/08/09/conditions-meteorologiques-inondation|2024-08-10T01:21:59Z
Oui|Pluies abondantes|2024-09-20|Beauharnois, Coteau-du-Lac, Les Coteaux, Salaberry-de-Valleyfield, Saint-Catherine, Saint-Constant, Candiac, Delson, Kahnawake|Non|Non|Canada|https://www.cybersoleil.com/rive-sud-les-fortes-pluies-causent-de-nombreuses-inondations-actu/|2024-08-10T00:28:24Z
Non|Inconnu|2023-08|Montréal, Lac-Beauport, Stoneham-et-Tewksbury, Charlevoix|NA|NA|Canada|https://www.journaldequebec.com/2024/08/09/intemperies--des-records-de-pluie-battus-a-montreal-mais-pas-a-quebec|2024-08-09T23:41:07Z
Oui|La pluie provenant de la tempête Debby|2024-08|"""Nominingue"", ""Lac-Saguay"", ""Nominingue"", ""Rivière-Rouge"""|NA|Oui|"""Québec"""|https://www.tvanouvelles.ca/2024/08/09/en-images--des-chemins-dans-les-laurentides-affaisses-par-la-pluie|2024-08-09T23:27:15Z
Non|Inconnu|Inconnu|Inconnu|Non|Non|Canada|https://www.journaldemontreal.com/2024/08/09/vestiges-de-la-tempete-debby-plus-de-48-000-foyers-plonges-dans-le-noir|2024-08-09T23:25:16Z
Oui|Débordement de la rivière Milette|2023-07-14|Rue Réal Proulx à Trois-Rivières|Non|Non|Canada|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/100-mm-de-pluie-attendus-en-mauricie-les-evenements-exterieurs-a-leau-QMG7E5BUOVF4LFZ7DHEQCOFQ6I/|2024-08-09T22:29:51Z
Non|NA|2024-08-09|Trois-Rivières, Shawinigan, Sainte-Marthe-du-Cap, Sainte-Anne-de-la-Pérade, Saint-Gérard-des-Laurentides, Saint-Jean-des-Piles|NA|NA|Canada|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/tempete-debby-la-situation-semble-etre-sous-controle-WTFZTN6E3ZBU3GM6PV63YNDFLY/|2024-08-09T22:04:21Z
Oui|Tempête Debby|Vendredi|Montréal, Laurentides, Montérégie, Boucherville, Saint-Bruno-de-Montarville, Saint-Hubert, Vieux-Longueuil, Longueuil|Oui|Non|Canada|https://www.lapresse.ca/actualites/2024-08-09/pluies-abondantes-au-quebec-et-en-ontario/les-vestiges-de-debby-causent-une-accumulation-d-eau-sur-plusieurs-routes.php|2024-08-09T21:29:10Z
